,USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
4331,28450,201706301800,67.00,71.00,61.00,19
4367,28450,201707010600,61.00,67.00,55.00,16
4403,28450,201707011800,67.00,71.00,61.00,19
4439,28450,201707020600,63.00,67.00,52.00,17
4475,28450,201707021800,67.00,72.00,63.00,19
4511,28450,201707030600,62.00,67.00,57.00,17
4547,28450,201707031800,67.00,74.00,62.00,19
4583,28450,201707040600,62.00,67.00,57.00,17
4619,28450,201707041800,62.00,74.00,62.00,17
4655,28450,201707050600,52.00,62.00,52.00,11
4691,28450,201707051800,47.00,53.00,47.00,8
4727,28450,201707060600,41.00,47.00,40.00,5
4763,28450,201707061800,46.00,47.00,40.00,8
4799,28450,201707070600,49.00,49.00,40.00,9
4835,28450,201707071800,58.00,62.00,49.00,14
4871,28450,201707080600,58.00,59.00,50.00,14
4907,28450,201707081800,62.00,67.00,58.00,17
4943,28450,201707090600,62.00,62.00,52.00,17
4979,28450,201707091800,65.00,70.00,62.00,18
5015,28450,201707100600,61.00,67.00,56.00,16
5051,28450,201707101800,59.00,71.00,59.00,15
5087,28450,201707110600,58.00,59.00,55.00,14
5123,28450,201707111800,65.00,69.00,58.00,18
5159,28450,201707120600,61.00,65.00,56.00,16
5195,28450,201707121800,60.00,63.00,58.00,16
5231,28450,201707130600,59.00,61.00,59.00,15
5267,28450,201707131800,62.00,64.00,58.00,17
5303,28450,201707140600,66.00,66.00,57.00,19
5339,28450,201707141800,56.00,72.00,53.00,13
5375,28450,201707150600,55.00,56.00,49.00,13
5411,28450,201707151800,62.00,63.00,55.00,17
5447,28450,201707160600,60.00,62.00,49.00,16
5483,28450,201707161800,66.00,69.00,60.00,19
5519,28450,201707170600,61.00,66.00,55.00,16
5555,28450,201707171800,61.00,71.00,61.00,16
5591,28450,201707180600,56.00,61.00,54.00,13
5627,28450,201707181800,53.00,57.00,53.00,12
5663,28450,201707190600,53.00,53.00,47.00,12
5699,28450,201707191800,53.00,56.00,53.00,12
5735,28450,201707200600,50.00,53.00,49.00,10
5770,28450,201707201800,56.00,60.00,50.00,13
5806,28450,201707210600,52.00,56.00,50.00,11
5842,28450,201707211800,54.00,57.00,51.00,12
5878,28450,201707220600,52.00,54.00,48.00,11
5914,28450,201707221800,59.00,60.00,52.00,15
5950,28450,201707230600,56.00,59.00,51.00,13
5986,28450,201707231800,64.00,67.00,56.00,18
6022,28450,201707240600,58.00,63.00,52.00,14
6058,28450,201707241800,67.00,71.00,58.00,19
6094,28450,201707250600,64.00,67.00,58.00,18
6130,28450,201707251800,72.00,75.00,64.00,22
6166,28450,201707260600,65.00,72.00,55.00,18
6202,28450,201707261800,73.00,76.00,64.00,23
6238,28450,201707270600,65.00,73.00,57.00,18
6274,28450,201707271800,62.00,75.00,61.00,17
6310,28450,201707280600,62.00,62.00,55.00,17
6346,28450,201707281800,73.00,76.00,62.00,23
6382,28450,201707290600,66.00,73.00,58.00,19
6418,28450,201707291800,58.00,74.00,58.00,14
6454,28450,201707300600,60.00,60.00,51.00,16
6490,28450,201707301800,65.00,70.00,60.00,18
6526,28450,201707310600,57.00,65.00,56.00,14
6562,28450,201707311800,68.00,71.00,57.00,20
6598,28450,201708010600,59.00,68.00,56.00,15
6634,28450,201708011800,60.00,66.00,59.00,16
6670,28450,201708020600,56.00,60.00,53.00,13
6706,28450,201708021800,66.00,69.00,55.00,19
6742,28450,201708030600,58.00,66.00,55.00,14
6778,28450,201708031800,58.00,65.00,58.00,14
6814,28450,201708040600,55.00,59.00,49.00,13
6850,28450,201708041800,58.00,59.00,54.00,14
6886,28450,201708050600,56.00,58.00,52.00,13
6922,28450,201708051800,55.00,64.00,55.00,13
6956,28450,201708060600,52.00,55.00,49.00,11
6991,28450,201708061800,52.00,55.00,52.00,11
7027,28450,201708070600,54.00,54.00,48.00,12
7063,28450,201708071800,56.00,57.00,52.00,13
7092,28450,201708080600,53.00,56.00,45.00,12
7128,28450,201708081800,60.00,66.00,53.00,16
7163,28450,201708090600,58.00,60.00,53.00,14
7199,28450,201708091800,60.00,67.00,58.00,16
7235,28450,201708100600,53.00,60.00,50.00,12
7271,28450,201708101800,58.00,63.00,53.00,14
7307,28450,201708110600,55.00,58.00,53.00,13
7343,28450,201708111800,59.00,63.00,55.00,15
7379,28450,201708120600,57.00,59.00,53.00,14
7415,28450,201708121800,63.00,69.00,57.00,17
7451,28450,201708130600,57.00,62.00,55.00,14
7487,28450,201708131800,56.00,60.00,55.00,13
7523,28450,201708140600,49.00,56.00,46.00,9
